"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"4","10","25","0","95","129"
"3","10","10","0","118","135"
"4","10","25","0","96","129"
"1","10","10","0","117","135"
"3","10","10","0","119","135"
"4","10","25","0","97","129"
"2","10","10","0","13","139"
"3","10","10","0","120","135"
"1","10","10","0","118","135"
"4","10","25","0","98","129"
"3","10","10","0","121","135"
"1","10","10","0","119","135"
"4","10","25","0","99","129"
"3","10","10","0","122","135"
"4","10","25","0","100","129"
"2","10","10","0","14","139"
"1","10","10","0","120","135"
"3","10","10","0","123","135"
"4","10","25","0","101","129"
"1","10","10","0","121","135"
"4","10","25","0","102","129"
"3","10","10","0","124","135"
"4","10","25","0","103","129"
"3","10","10","0","125","135"
"1","10","10","0","122","135"
"2","10","10","0","15","139"
"4","10","25","0","104","129"
"1","10","10","0","123","135"
"3","10","10","0","126","135"
"4","10","25","0","105","129"
"3","10","10","0","127","135"
"1","10","10","0","124","135"
"4","10","25","0","106","129"
"3","10","10","0","128","135"
"1","10","10","0","125","135"
"4","10","25","0","107","129"
"3","10","10","0","129","135"
"1","10","10","0","126","135"
"4","10","25","0","108","129"
"3","10","10","0","130","135"
"1","10","10","0","127","135"
"4","10","25","0","109","129"
"3","10","10","0","131","135"
"1","10","10","0","128","135"
"4","10","25","0","110","129"
"3","10","10","0","132","135"
"4","10","25","0","111","129"
"3","10","10","0","133","134"
"1","10","10","0","129","135"
"4","10","25","0","112","129"
"3","10","10","0","134","134"
"1","10","10","0","130","134"
"4","10","25","0","113","129"
"3","10","10","0","135","134"
"1","10","10","0","131","134"
"4","10","25","0","114","129"
"3","10","10","0","136","134"
"4","10","25","0","115","129"
"3","10","10","0","137","134"
"1","10","10","0","132","134"
"4","10","25","0","116","129"
"3","10","10","0","138","134"
"1","10","10","0","133","134"
"4","10","25","0","117","129"
"3","10","10","0","139","134"
"1","10","10","0","134","134"
"4","10","25","0","118","129"
"3","10","10","0","140","134"
"1","10","10","0","135","134"
"4","10","25","0","119","129"
"3","10","10","0","141","134"
"4","10","25","0","120","129"
"1","10","10","0","136","134"
"2","10","10","0","16","139"
"3","10","10","0","142","134"
"4","10","25","0","121","129"
"1","10","10","0","137","134"
"3","10","10","0","143","133"
"4","10","25","0","122","129"
"1","10","10","0","138","133"
"3","10","10","0","144","133"
"4","10","25","0","123","129"
"1","10","10","0","139","133"
"3","10","10","0","145","133"
"4","10","25","0","124","129"
"3","10","10","0","146","133"
"1","10","10","0","140","133"
"4","10","25","0","125","129"
"4","10","25","0","126","129"
"3","10","10","0","147","132"
"1","10","10","0","141","133"
"4","10","25","0","127","129"
"3","10","10","0","148","132"
"1","10","10","0","142","133"
"4","10","25","0","128","129"
"3","10","10","0","149","132"
"1","10","10","0","143","133"
"4","10","25","0","129","129"
"3","10","10","0","150","131"
"1","10","10","0","144","133"
"4","10","25","0","130","129"
"1","10","10","0","145","133"
"4","10","25","0","131","129"
"4","10","25","0","132","129"
"1","10","10","0","146","133"
"4","10","25","0","133","129"
"1","10","10","0","147","133"
"4","10","25","0","134","129"
"1","10","10","0","148","132"
"2","10","10","0","17","139"
"4","10","25","0","135","129"
"1","10","10","0","149","132"
"1","10","10","0","150","132"
"2","10","10","0","18","139"
"5","10","25","0","0","150"
"5","10","25","0","1","150"
"5","10","25","0","2","150"
"2","10","10","0","19","139"
"4","10","25","0","136","129"
"4","10","25","0","137","129"
"5","10","25","0","3","149"
"6","10","25","0","0","150"
"4","10","25","0","138","129"
"5","10","25","0","4","149"
"4","10","25","0","139","129"
"6","10","25","0","1","150"
"5","10","25","0","5","149"
"4","10","25","0","140","128"
"2","10","10","0","20","138"
"6","10","25","0","2","150"
"4","10","25","0","141","128"
"4","10","25","0","142","128"
"6","10","25","0","3","150"
"5","10","25","0","6","149"
"4","10","25","0","143","128"
"6","10","25","0","4","150"
"5","10","25","0","7","148"
"4","10","25","0","144","127"
"5","10","25","0","8","147"
"6","10","25","0","5","150"
"4","10","25","0","145","126"
"4","10","25","0","146","126"
"6","10","25","0","6","150"
"5","10","25","0","9","146"
"4","10","25","0","147","126"
"6","10","25","0","7","150"
"4","10","25","0","148","126"
"6","10","25","0","8","150"
"4","10","25","0","149","126"
"6","10","25","0","9","150"
"4","10","25","0","150","126"
"5","10","25","0","10","146"
"6","10","25","0","10","150"
"6","10","25","0","11","140"
"2","10","10","0","21","138"
"6","10","25","0","12","140"
"5","10","25","0","11","135"
"6","10","25","0","13","140"
"7","10","40","0","0","150"
"7","10","40","0","1","150"
"6","10","25","0","14","140"
"6","10","25","0","15","139"
"7","10","40","0","2","150"
"6","10","25","0","16","138"
"5","10","25","0","12","135"
"7","10","40","0","3","150"
"6","10","25","0","17","138"
"5","10","25","0","13","135"
"6","10","25","0","18","138"
"2","10","10","0","22","138"
"7","10","40","0","4","150"
"6","10","25","0","19","138"
"5","10","25","0","14","135"
"6","10","25","0","20","136"
"6","10","25","0","21","136"
"7","10","40","0","5","150"
"5","10","25","0","15","135"
"2","10","10","0","23","138"
"5","10","25","0","16","134"
"5","10","25","0","17","134"
"7","10","40","0","6","150"
"6","10","25","0","22","135"
"5","10","25","0","18","134"
"7","10","40","0","7","150"
"5","10","25","0","19","134"
"5","10","25","0","20","134"
"7","10","40","0","8","150"
"5","10","25","0","21","134"
"5","10","25","0","22","134"
"7","10","40","0","9","149"
"6","10","25","0","23","135"
"5","10","25","0","23","133"
"7","10","40","0","10","149"
"6","10","25","0","24","135"
"5","10","25","0","24","133"
"5","10","25","0","25","133"
"7","10","40","0","11","139"
"6","10","25","0","25","135"
"5","10","25","0","26","133"
"6","10","25","0","26","135"
"7","10","40","0","12","137"
"5","10","25","0","27","133"
"5","10","25","0","28","133"
"7","10","40","0","13","137"
"6","10","25","0","27","135"
"5","10","25","0","29","133"
"7","10","40","0","14","137"
"6","10","25","0","28","135"
"5","10","25","0","30","133"
"7","10","40","0","15","137"
"6","10","25","0","29","135"
"5","10","25","0","31","133"
"7","10","40","0","16","137"
"6","10","25","0","30","135"
"5","10","25","0","32","133"
"7","10","40","0","17","136"
"6","10","25","0","31","135"
"5","10","25","0","33","133"
"7","10","40","0","18","135"
"5","10","25","0","34","133"
"6","10","25","0","32","135"
"2","10","10","0","24","138"
"7","10","40","0","19","132"
"6","10","25","0","33","135"
"5","10","25","0","35","133"
"6","10","25","0","34","135"
"5","10","25","0","36","133"
"7","10","40","0","20","132"
"6","10","25","0","35","135"
"5","10","25","0","37","133"
"7","10","40","0","21","132"
"6","10","25","0","36","135"
"5","10","25","0","38","133"
"7","10","40","0","22","132"
"6","10","25","0","37","135"
"5","10","25","0","39","133"
"7","10","40","0","23","132"
"5","10","25","0","40","133"
"6","10","25","0","38","135"
"7","10","40","0","24","132"
"5","10","25","0","41","133"
"6","10","25","0","39","135"
"5","10","25","0","42","133"
"7","10","40","0","25","132"
"6","10","25","0","40","135"
"5","10","25","0","43","132"
"2","10","10","0","25","138"
"6","10","25","0","41","135"
"5","10","25","0","44","132"
"6","10","25","0","42","135"
"5","10","25","0","45","132"
"6","10","25","0","43","135"
"5","10","25","0","46","132"
"7","10","40","0","26","132"
"6","10","25","0","44","135"
"5","10","25","0","47","132"
"2","10","10","0","26","138"
"6","10","25","0","45","135"
"5","10","25","0","48","132"
"6","10","25","0","46","135"
